aproveitamento_visitante,aproveitamento_mandante,local,status_transmissao_tr,status_cronometro_tr,periodo_tr,partida_data,inicio_cronometro_tr,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,transmissao.label,transmissao.url,odd_casa,odd_vis,odd_empate,prob_casa,prob_vis,forca_casa,forca_vis
"['d', 'e', 'd', 'v', 'e']","['', 'v', 'e', 'e', 'e']",Maião,ENCERRADA,PAUSADO,POS_JOGO,2026-03-10 21:30:00,2026-03-11T02:38:19.763Z,2.0,2.0,346405,14,277,11,2305,1773189000,26,False,saiba como foi,https://ge.globo.com/sp/tem-esporte/futebol/brasileirao-serie-a/jogo/10-03-2026/mirassol-santos.ghtml?utm_source=cartolafc,1.71,3.25,3.65,0.55,0.285,favorito,zebra
"['d', 'e', 'd', 'e', 'd']","['e', 'd', 'e', 'd', 'v']",Arena MRV,ENCERRADA,PAUSADO,POS_JOGO,2026-03-11 19:00:00,2026-03-12T00:12:53.971Z,0.0,1.0,346406,18,285,13,282,1773266400,26,True,saiba como foi,https://ge.globo.com/mg/futebol/brasileirao-serie-a/jogo/11-03-2026/atletico-mg-internacional.ghtml?utm_source=cartolafc,1.97,6.75,3.4,0.475,0.137,favorito,zebra
"['', '', 'v', 'd', 'd']","['', 'v', 'v', 'd', 'e']",Arena da Baixada,,,,2026-03-11 19:00:00,,,,346408,16,263,7,293,1773266400,26,False,,,2.1,2.0,3.1,0.432,0.454,equilibrado,equilibrado
"['', 'v', 'd', 'd', 'e']","['', 'v', 'e', 'v', 'e']",Casa de Apostas Arena Fonte Nova,ENCERRADA,PAUSADO,POS_JOGO,2026-03-11 20:00:00,2026-03-12T01:18:18.637Z,1.0,1.0,346409,15,287,3,265,1773270000,26,True,saiba como foi,https://ge.globo.com/ba/futebol/brasileirao-serie-a/jogo/11-03-2026/bahia-vitoria.ghtml?utm_source=cartolafc,1.81,2.55,3.7,0.521,0.364,favorito,zebra
"['d', 'd', 'e', 'e', 'd']","['', 'd', 'e', 'v', 'v']",Maracanã,ENCERRADA,PAUSADO,POS_JOGO,2026-03-11 21:30:00,2026-03-12T02:45:40.138Z,0.0,2.0,346401,19,283,4,262,1773275400,26,True,saiba como foi,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/11-03-2026/flamengo-cruzeiro.ghtml?utm_source=cartolafc,1.16,5.5,7.0,0.808,0.17,favorito_forte,zebra
"['d', 'v', 'e', 'd', 'v']","['d', 'v', 'v', 'e', 'd']",Neo Química Arena,ENCERRADA,PAUSADO,POS_JOGO,2026-03-11 21:30:00,2026-03-12T02:41:52.773Z,2.0,0.0,346404,5,294,8,264,1773275400,26,True,saiba como foi,https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/11-03-2026/corinthians-coritiba.ghtml?utm_source=cartolafc,,4.7,,,0.185,,zebra
"['v', 'e', 'v', 'd', 'e']","['d', 'e', 'e', 'e', 'e']",Mangueirão,EM_ANDAMENTO,PAUSADO,PRE_JOGO,2026-03-12 19:00:00,2026-03-12T21:01:59.719Z,,,346410,6,266,17,364,1773352800,26,True,ao vivo,https://ge.globo.com/pa/futebol/brasileirao-serie-a/jogo/12-03-2026/remo-fluminense.ghtml?utm_source=cartolafc,3.1,4.2,3.35,0.303,0.22,zebra,zebra
"['e', 'v', 'v', 'v', 'e']","['d', 'e', 'd', 'd', 'e']",São Januário,EM_ANDAMENTO,PAUSADO,PRE_JOGO,2026-03-12 19:30:00,2026-03-12T21:29:29.053Z,,,346402,1,275,20,267,1773354600,26,True,fique por dentro,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/12-03-2026/vasco-palmeiras.ghtml?utm_source=cartolafc,1.88,6.4,3.6,0.499,0.147,favorito,zebra
"['', 'v', 'e', 'e', 'e']","['v', 'e', 'v', 'v', 'e']",Canindé,CRIADA,PAUSADO,,2026-03-12 20:00:00,,,,346403,12,315,2,276,1773356400,26,True,fique por dentro,https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/12-03-2026/sao-paulo-chapecoense.ghtml?utm_source=cartolafc,2.88,2.33,3.25,0.321,0.397,zebra,equilibrado
"['v', 'v', 'd', 'e', 'e']","['d', 'v', 'd', 'v', 'e']",Arena do Grêmio,CRIADA,PAUSADO,,2026-03-12 21:30:00,,,,346407,9,280,10,284,1773361800,26,True,fique por dentro,https://ge.globo.com/rs/futebol/brasileirao-serie-a/jogo/12-03-2026/gremio-bragantino.ghtml?utm_source=cartolafc,1.68,3.35,3.8,0.56,0.275,favorito,zebra
